BOOKNAME		WRITERNAME		EDITION		Publisher	
Algorithms		THcormen		third		ab
progarming		DSmalik			four		acas
linearalgg		abdul.sa		six		hdu	
phchemistt		sanaulla		five		bdskjh
appchemist		fatima			two		ksdk	
organicchh		hamda			third		sdhu
biogenetic		alex			one		haouha	
inorganicc		ramay			fourth		uado
chgarmingg		p.malik			fourth		jsajd
linearchh		abduppp			six		auhad	
englishaa		ali			seven		ksajhosd	
zoologyaa		ahemed			five		uhsoad
botanychh		asim			third		jhsja
islamiyat		parweez			six		ushaou										
biologyaa		hamid			two		sahj	
economicb		imran			fourth		iJIJ
businessa		hamid			six		hsau			
mathematt		abdualah		two		ajsdij				
managemet		liqman			five		ashl		
physicsdd		hamza			seven		saga			
biophymis		abdulhaq		two		hsah				
biosciene		billal			third		ashuh			
nuclearch		laraib			six		ashuh			
calculus1		hiramani		two		aushuh				
calculus2		aiman			third		sahua		
calculus3		minal			eigth		asuhl			
calculus3		minal			eigth		saiud
